
[Error Occurred at 06/10/2023 20:59:09] - MAC Already Exists: 00:11:22:33:44:55
[Error Occurred at 06/10/2023 20:59:09] - MAC Already Exists: AA:BB:CC:DD:EE:FF
[Error Occurred at 06/10/2023 20:59:09] - MAC Already Exists: 12:34:56:78:90:AB
[Error Occurred at 06/10/2023 20:59:09] - MAC Already Exists: AA:BB:CC:DD:EE:FF
[Error Occurred at 06/10/2023 20:59:09] - MAC Already Exists: 12:34:56:78:90:AB
[Error Occurred at 06/10/2023 21:06:31] - MAC Already Exists: 00:11:22:33:44:55
[Error Occurred at 06/10/2023 21:06:31] - MAC Already Exists: AA:BB:CC:DD:EE:FF
[Error Occurred at 06/10/2023 21:06:31] - MAC Already Exists: 12:34:56:78:90:AB
[Error Occurred at 06/10/2023 21:06:31] - MAC Already Exists: AA:BB:CC:DD:EE:FF
[Error Occurred at 06/10/2023 21:06:31] - MAC Already Exists: 12:34:56:78:90:AB
